index_type,nlist,nprobe,recall,query_per_sec,loss
IVF_SQ8,6401,601,99.49,6547.155144154973,-6542.665144154973
IVF_SQ8,6501,1,24.88,17223.65308804205,6994776.3469119575
IVF_SQ8,6501,101,99.49,12995.922414327322,-12991.432414327322
IVF_SQ8,6501,201,99.49,6058.593941845181,-6054.103941845181
IVF_SQ8,6501,301,99.49,5937.408340647207,-5932.918340647208
IVF_SQ8,6501,401,99.49,5884.842787591374,-5880.352787591374
IVF_SQ8,6501,501,99.49,7920.206960364069,-7915.71696036407
IVF_SQ8,6501,601,99.49,6462.021045495863,-6457.531045495864
IVF_SQ8,6601,1,24.88,8591.89216871172,7003408.107831288
IVF_SQ8,6601,101,99.49,8186.723400932992,-8182.233400932992
IVF_SQ8,6601,201,99.49,6305.896502991852,-6301.406502991852
IVF_SQ8,6601,301,99.49,6793.495302883058,-6789.005302883058
IVF_SQ8,6601,401,99.49,5208.633236470208,-5204.143236470209
IVF_SQ8,6601,501,99.49,5431.136778587799,-5426.646778587799
IVF_SQ8,6601,601,99.49,6656.568798603396,-6652.0787986033965
IVF_SQ8,6701,1,24.88,10789.761531139866,7001210.23846886
IVF_SQ8,6701,101,99.49,11704.490023719827,-11700.000023719827
IVF_SQ8,6701,201,99.49,8613.418215422527,-8608.928215422528
IVF_SQ8,6701,301,99.49,5053.62186129452,-5049.131861294521
IVF_SQ8,6701,401,99.49,6192.317004753891,-6187.827004753891
IVF_SQ8,6701,501,99.49,5537.619814633888,-5533.129814633889
IVF_SQ8,6701,601,99.49,6900.796314577164,-6896.306314577164
IVF_SQ8,6801,1,24.88,15721.36886689906,6996278.631133101
IVF_SQ8,6801,101,99.49,6804.295772362999,-6799.805772362999
IVF_SQ8,6801,201,99.49,6623.038418418102,-6618.548418418102
IVF_SQ8,6801,301,99.49,8087.587975550028,-8083.097975550028
IVF_SQ8,6801,401,99.49,5327.2503270547295,-5322.76032705473
IVF_SQ8,6801,501,99.49,8303.579347481787,-8299.089347481788
IVF_SQ8,6801,601,99.49,5836.85272547628,-5832.3627254762805
IVF_SQ8,6901,1,24.88,7884.771125105743,7004115.228874894
IVF_SQ8,6901,101,99.49,8190.720199968755,-8186.230199968755
IVF_SQ8,6901,201,99.49,9809.401749380231,-9804.911749380231
IVF_SQ8,6901,301,99.49,8378.051654914807,-8373.561654914807
