,index_type,M,efConstruction,ef,recall,query_per_sec,loss
5569,HNSW,14,308,1100,100.0,10503.353116470087,-10498.353116470087
5570,HNSW,14,308,1200,100.0,9698.036948831186,-9693.036948831186
5571,HNSW,14,308,1300,100.0,9448.120199130492,-9443.120199130492
5572,HNSW,14,308,1400,100.0,9247.721309668172,-9242.721309668172
5573,HNSW,14,308,1500,100.0,8883.790481435199,-8878.790481435199
5574,HNSW,14,308,1600,100.0,8773.042732539898,-8768.042732539898
5575,HNSW,14,308,1700,100.0,6676.489128012479,-6671.489128012479
5576,HNSW,14,308,1800,100.0,6322.912489635939,-6317.912489635939
5577,HNSW,14,308,1900,100.0,6152.441582444663,-6147.441582444663
5578,HNSW,14,308,2000,100.0,7751.153163808397,-7746.153163808397
5579,HNSW,14,308,2100,100.0,7678.500292911541,-7673.500292911541
5580,HNSW,14,308,2200,100.0,7085.451719710792,-7080.451719710792
5581,HNSW,14,308,2300,100.0,6936.173309078882,-6931.173309078882
5582,HNSW,14,308,2400,100.0,6497.558557442062,-6492.558557442062
5583,HNSW,14,308,2500,100.0,6625.3400097935455,-6620.3400097935455
5584,HNSW,14,308,2600,100.0,6707.881269191403,-6702.881269191403
5585,HNSW,14,308,2700,100.0,6679.253455634117,-6674.253455634117
5586,HNSW,14,308,2800,100.0,6532.166329232206,-6527.166329232206
5587,HNSW,14,308,2900,100.0,6332.841116697619,-6327.841116697619
5588,HNSW,14,308,3000,100.0,6258.193700481938,-6253.193700481938
5589,HNSW,14,308,3100,100.0,4442.553912638224,-4437.553912638224
5590,HNSW,14,308,3200,100.0,4448.490762149206,-4443.490762149206
5591,HNSW,14,308,3300,100.0,5835.391015206534,-5830.391015206534
5592,HNSW,14,308,3400,100.0,5687.654588847906,-5682.654588847906
5593,HNSW,14,308,3500,100.0,5812.1028199265575,-5807.1028199265575
5594,HNSW,14,308,3600,100.0,5629.862686406894,-5624.862686406894
5595,HNSW,14,308,3700,100.0,5449.625154290911,-5444.625154290911
5596,HNSW,14,308,3800,100.0,5570.420739481513,-5565.420739481513
5597,HNSW,14,308,3900,100.0,5505.419702041084,-5500.419702041084
5598,HNSW,14,308,4000,100.0,5220.042314872433,-5215.042314872433
5599,HNSW,14,308,4100,100.0,5298.71521154162,-5293.71521154162
5600,HNSW,14,308,4200,100.0,5268.961358725692,-5263.961358725692
5601,HNSW,14,308,4300,100.0,5206.43495531281,-5201.43495531281
5602,HNSW,14,308,4400,100.0,5076.927918658839,-5071.927918658839
5603,HNSW,14,308,4500,100.0,5078.6491820746605,-5073.6491820746605
5604,HNSW,14,308,4600,100.0,5021.554964921103,-5016.554964921103
5605,HNSW,14,308,4700,100.0,4950.842195965486,-4945.842195965486
5606,HNSW,14,308,4800,100.0,4920.87053440488,-4915.87053440488
5607,HNSW,14,308,4900,100.0,4829.42117928819,-4824.42117928819
5608,HNSW,14,308,5000,100.0,4737.238956843877,-4732.238956843877
5609,HNSW,14,308,5100,100.0,4663.446742272627,-4658.446742272627
5610,HNSW,14,308,5200,100.0,4440.954619570972,-4435.954619570972
5611,HNSW,14,308,5300,100.0,4418.03320131457,-4413.03320131457
5612,HNSW,14,308,5400,100.0,3931.336876341516,-3926.336876341516
5613,HNSW,14,308,5500,100.0,2983.6345917184176,-2978.6345917184176
5614,HNSW,14,308,5600,100.0,3029.2969709225904,-3024.2969709225904
5615,HNSW,14,308,5700,100.0,3511.376403318571,-3506.376403318571
5616,HNSW,14,308,5800,100.0,4085.626339372687,-4080.626339372687
5617,HNSW,14,308,5900,100.0,3124.2953340087,-3119.2953340087
5618,HNSW,14,308,6000,100.0,3732.583429741034,-3727.583429741034
5619,HNSW,14,308,6100,100.0,3843.4366666972114,-3838.4366666972114
5620,HNSW,14,308,6200,100.0,3793.004159884247,-3788.004159884247
5621,HNSW,14,308,6300,100.0,3757.764498239515,-3752.764498239515
5622,HNSW,14,308,6400,100.0,2893.002531366179,-2888.002531366179
5623,HNSW,14,308,6500,100.0,2682.9465496507432,-2677.9465496507432
5624,HNSW,14,308,6600,100.0,3520.128910970861,-3515.128910970861
5625,HNSW,14,308,6700,100.0,3412.2781041019216,-3407.2781041019216
5626,HNSW,14,308,6800,100.0,3406.2093440639287,-3401.2093440639287
5627,HNSW,14,308,6900,100.0,3278.926178693997,-3273.926178693997
5628,HNSW,14,308,7000,100.0,3249.786152606459,-3244.786152606459
5629,HNSW,14,308,7100,100.0,3238.369660049877,-3233.369660049877
5630,HNSW,14,308,7200,100.0,3203.3726915850734,-3198.3726915850734
