index_type,m,nlist,nprobe,recall,query_per_sec,loss
"IVF_PQ","8","801","1","24.83","10673.072420988345","7027673.072420988"
"IVF_PQ","8","801","80","70.69","12239.710517100502","2443239.7105171005"
"IVF_PQ","8","801","100","70.69","12752.9082672018","2443752.908267202"
"IVF_PQ","1","901","1","24.64","14437.229794850613","7050437.229794851"
"IVF_PQ","1","901","90","49.5","14062.104804371878","4564062.1048043715"
"IVF_PQ","1","901","100","49.5","16541.662722826943","4566541.662722827"
"IVF_PQ","2","901","1","24.76","14438.223752151463","7038438.22375215"
"IVF_PQ","2","901","90","55.37","15098.286537077034","3978098.2865370773"
"IVF_PQ","2","901","100","55.37","16086.154790212473","3979086.154790213"
"IVF_PQ","4","901","1","24.81","13283.62311955661","7032283.623119556"
"IVF_PQ","4","901","90","61.47","14126.516452797145","3367126.516452797"
"IVF_PQ","4","901","100","61.47","14118.908001481132","3367118.908001481"
"IVF_PQ","8","901","1","24.83","12590.2143243081","7029590.214324309"
"IVF_PQ","8","901","90","70.69","14430.772406674694","2445430.772406675"
"IVF_PQ","8","901","100","70.69","14442.200950347773","2445442.200950348"
"IVF_PQ","1","1001","1","24.64","14660.78506763606","7050660.7850676365"
"IVF_PQ","1","1001","100","49.5","16265.187885368596","4566265.187885368"
"IVF_PQ","1","1001","100","49.5","14441.206445393196","4564441.206445393"
"IVF_PQ","2","1001","1","24.76","4045.9394021241087","7028045.939402123"
"IVF_PQ","2","1001","100","55.37","5844.0908457572805","3968844.0908457576"
"IVF_PQ","2","1001","100","55.37","11064.72155538555","3974064.721555386"
"IVF_PQ","4","1001","1","24.81","14055.507523206326","7033055.507523206"
"IVF_PQ","4","1001","100","61.47","15700.771131242045","3368700.771131242"
"IVF_PQ","4","1001","100","61.47","15826.367821296506","3368826.3678212967"
"IVF_PQ","8","1001","1","24.83","11241.467663691672","7028241.467663691"
"IVF_PQ","8","1001","100","70.69","11708.737647255877","2442708.737647256"
"IVF_PQ","8","1001","100","70.69","9787.883879398862","2440787.883879399"
"IVF_PQ","1","1101","1","24.64","15468.574589710492","7051468.574589711"
"IVF_PQ","1","1101","110","49.5","13770.779433974654","4563770.779433975"
"IVF_PQ","1","1101","100","49.5","15205.017219503354","4565205.017219503"
"IVF_PQ","2","1101","1","24.76","12637.632950676429","7036637.632950676"
"IVF_PQ","2","1101","110","55.37","14008.09565159308","3977008.0956515935"
"IVF_PQ","2","1101","100","55.37","15473.139779392777","3978473.139779393"
"IVF_PQ","4","1101","1","24.81","13676.037692784244","7032676.037692784"
"IVF_PQ","4","1101","110","61.47","14465.611312295223","3367465.6113122953"
"IVF_PQ","4","1101","100","61.47","14809.349622201822","3367809.3496222016"
"IVF_PQ","8","1101","1","24.83","2405.652931999633","7019405.652931999"
"IVF_PQ","8","1101","110","70.69","4717.259374226781","2435717.259374227"
"IVF_PQ","8","1101","100","70.69","10924.942696395083","2441924.942696395"
"IVF_PQ","1","1201","1","24.64","14980.192149719633","7050980.192149719"
"IVF_PQ","1","1201","120","49.5","14409.949496684647","4564409.949496685"
"IVF_PQ","1","1201","100","49.5","16060.899865977408","4566060.8998659775"
