index_type, nlist, nprobe, recall, query_per_sec, loss
IVF_FLAT,7801,201,100,9835.625175874684,9840.625175874684
IVF_FLAT,7801,301,100,7246.801893638342,7251.801893638342
IVF_FLAT,7801,401,100,10165.052590761476,10170.052590761476
IVF_FLAT,7801,501,100,10390.942648333952,10395.942648333952
IVF_FLAT,7801,601,100,9981.209842463471,9986.209842463471
IVF_FLAT,7801,701,100,8943.841692255202,8948.841692255202
IVF_FLAT,7901,1,24.88,13460.10718526363,7025460.107185263
IVF_FLAT,7901,101,100,14349.312350325008,14354.312350325008
IVF_FLAT,7901,201,100,12031.853126792887,12036.853126792887
IVF_FLAT,7901,301,100,10158.405386422533,10163.405386422533
IVF_FLAT,7901,401,100,10326.219902506278,10331.219902506278
IVF_FLAT,7901,501,100,10471.1004593569,10476.1004593569
IVF_FLAT,7901,601,100,10322.661941327033,10327.661941327033
IVF_FLAT,7901,701,100,10350.428151913728,10355.428151913728
IVF_FLAT,8001,1,24.88,13730.20819693597,7025730.208196936
IVF_FLAT,8001,101,100,13512.142005734351,13517.142005734351
IVF_FLAT,8001,201,100,11964.24109307699,11969.24109307699
IVF_FLAT,8001,301,100,10375.776766277459,10380.776766277459
IVF_FLAT,8001,401,100,10493.630222667,10498.630222667
IVF_FLAT,8001,501,100,10835.474954145031,10840.474954145031
IVF_FLAT,8001,601,100,10257.279107872148,10262.279107872148
IVF_FLAT,8001,701,100,10422.1846734917,10427.1846734917
IVF_FLAT,8101,1,24.88,13428.648267913171,7025428.648267914
IVF_FLAT,8101,101,100,14063.519313304721,14068.519313304721
IVF_FLAT,8101,201,100,11503.219790466786,11508.219790466786
IVF_FLAT,8101,301,100,10507.299964928103,10512.299964928103
IVF_FLAT,8101,401,100,10189.252745117092,10194.252745117092
IVF_FLAT,8101,501,100,10355.79477556664,10360.79477556664
IVF_FLAT,8101,601,100,10257.279107872148,10262.279107872148
IVF_FLAT,8101,701,100,10546.932206799436,10551.932206799436
IVF_FLAT,8101,801,100,10413.904061972391,10418.904061972391
IVF_FLAT,8201,1,24.88,14779.604637231756,7026779.604637232
IVF_FLAT,8201,101,100,12097.790597057976,12102.790597057976
IVF_FLAT,8201,201,100,9611.586232182959,9616.586232182959
IVF_FLAT,8201,301,100,8646.62323740414,8651.62323740414
IVF_FLAT,8201,401,100,10536.599090612204,10541.599090612204
IVF_FLAT,8201,501,100,10200.899871099546,10205.899871099546
IVF_FLAT,8201,601,100,10532.365718303494,10537.365718303494
IVF_FLAT,8201,701,100,10700.574023522207,10705.574023522207
IVF_FLAT,8201,801,100,10577.519985877487,10582.519985877487
IVF_FLAT,8301,1,24.88,14296.97651429935,7026296.976514299
IVF_FLAT,8301,101,100,13273.113924050633,13278.113924050633
IVF_FLAT,8301,201,100,11203.932044021798,11208.932044021798
IVF_FLAT,8301,301,100,10180.596616422728,10185.596616422728
IVF_FLAT,8301,401,100,10421.407806793053,10426.407806793053
IVF_FLAT,8301,501,100,10289.23560003925,10294.23560003925
IVF_FLAT,8301,601,100,10281.920917804526,10286.920917804526
IVF_FLAT,8301,701,100,10291.760318005594,10296.760318005594
IVF_FLAT,8301,801,100,10354.005282776667,10359.005282776667
IVF_FLAT,8401,1,24.88,13792.969186753922,7025792.969186754
IVF_FLAT,8401,101,100,12294.243170359949,12299.243170359949
IVF_FLAT,8401,201,100,10140.967117988395,10145.967117988395
IVF_FLAT,8401,301,100,8502.542063652949,8507.542063652949
IVF_FLAT,8401,401,100,8698.085896186309,8703.085896186309
IVF_FLAT,8401,501,100,10464.047102262804,10469.047102262804
IVF_FLAT,8401,601,100,10785.877028312803,10790.877028312803
IVF_FLAT,8401,701,100,10602.922291319075,10607.922291319075
IVF_FLAT,8401,801,100,10427.625985132885,10432.625985132885
IVF_FLAT,8501,1,24.88,15191.799775435546,7027191.799775436
IVF_FLAT,8501,101,100,12739.738176958357,12744.738176958357
IVF_FLAT,8501,201,100,10291.760318005594,10296.760318005594
IVF_FLAT,8501,301,100,10072.292397099083,10077.292397099083
IVF_FLAT,8501,401,100,10052.015529885442,10057.015529885442
IVF_FLAT,8501,501,100,9318.190704700968,9323.190704700968
IVF_FLAT,8501,601,100,9251.80103672659,9256.80103672659
IVF_FLAT,8501,701,100,9627.249982785135,9632.249982785135
IVF_FLAT,8501,801,100,9895.26033925496,9900.26033925496
IVF_FLAT,8601,1,24.88,14347.348977218307,7026347.348977218
IVF_FLAT,8601,101,100,12956.980012974576,12961.980012974576
IVF_FLAT,8601,201,100,11208.123563679119,11213.123563679119
IVF_FLAT,8601,301,100,10250.260270290086,10255.260270290086
IVF_FLAT,8601,401,100,8608.291601674739,8613.291601674739
IVF_FLAT,8601,501,100,8781.124254160997,8786.124254160997
IVF_FLAT,8601,601,100,8560.677620165323,8565.677620165323
IVF_FLAT,8601,701,100,8869.70055828117,8874.70055828117
IVF_FLAT,8601,801,100,9908.584927947082,9913.584927947082
IVF_FLAT,8701,1,24.88,14390.667673094078,7026390.667673094
IVF_FLAT,8701,101,100,12453.026929129182,12458.026929129182
IVF_FLAT,8701,201,100,10807.554948594398,10812.554948594398
