index_type,m,nlist,nprobe,recall,query_per_sec,loss
IVF_PQ,16,13401,1,24.84,9214.605211125268,7006785.394788874
IVF_PQ,16,13401,1340,81.13,8347.20585893966,1378652.794141061
IVF_PQ,16,13401,100,81.13,10828.20188460049,1376171.7981154
IVF_PQ,32,13401,1,24.86,7356.492151188284,7006643.507848811
IVF_PQ,32,13401,1340,88.42,4324.113899255654,653675.8861007442
IVF_PQ,32,13401,100,88.42,7735.000461041955,650264.999538958
IVF_PQ,64,13401,1,24.88,4483.009833262078,7007516.990166738
IVF_PQ,64,13401,1340,94.44,2759.4105263157894,53240.589473684435
IVF_PQ,64,13401,100,94.44,4378.507824162517,51621.49217583771
IVF_PQ,128,13401,1,24.88,2791.624402646327,7009208.375597354
IVF_PQ,128,13401,1340,98.1,1112.2082123490181,-1109.1082123490182
IVF_PQ,128,13401,100,98.1,2438.3645422148325,-2435.2645422148325
IVF_PQ,1,13501,1,24.64,14076.735132232514,7021923.264867768
IVF_PQ,1,13501,1350,49.5,12685.793787617578,4537314.206212383
IVF_PQ,1,13501,100,49.5,14712.726252280061,4535287.27374772
IVF_PQ,2,13501,1,24.76,13572.481636087112,7010427.518363912
IVF_PQ,2,13501,1350,55.37,11859.036417100204,3951140.9635829004
IVF_PQ,2,13501,100,55.37,14819.291241211178,3948180.708758789
IVF_PQ,4,13501,1,24.81,11614.066566982334,7007385.933433018
IVF_PQ,4,13501,1350,61.47,10319.86811997146,3342680.1318800286
IVF_PQ,4,13501,100,61.47,11797.991617676014,3341202.008382324
IVF_PQ,8,13501,1,24.83,10943.470660369974,7006056.52933963
IVF_PQ,8,13501,1350,70.69,9256.90576031781,2421743.094239682
IVF_PQ,8,13501,100,70.69,11524.079569183426,2419475.9204308167
IVF_PQ,16,13501,1,24.84,8824.72595678428,7007175.274043215
IVF_PQ,16,13501,1350,81.13,6415.368849324706,1380584.6311506757
IVF_PQ,16,13501,100,81.13,9939.34453423067,1377060.6554657698
IVF_PQ,32,13501,1,24.86,2290.454945090951,7011709.545054909
IVF_PQ,32,13501,1350,88.42,1605.438343999755,656394.5616560001
IVF_PQ,32,13501,100,88.42,3808.6064271250466,654191.3935728748
IVF_PQ,64,13501,1,24.88,4504.772951840873,7007495.22704816
IVF_PQ,64,13501,1350,94.44,2276.6301368375916,53723.36986316263
IVF_PQ,64,13501,100,94.44,4728.107315973397,51271.892684026825
IVF_PQ,128,13501,1,24.88,2704.763624404305,7009295.236375595
IVF_PQ,128,13501,1350,98.1,1027.7058631834032,-1024.6058631834032
IVF_PQ,128,13501,100,98.1,2447.6278288068534,-2444.5278288068534
IVF_PQ,1,13601,1,24.64,13090.83645443196,7022909.1635455685
IVF_PQ,1,13601,1360,49.5,12019.44062356717,4537980.559376433
IVF_PQ,1,13601,100,49.5,14304.29029397722,4535695.709706022
IVF_PQ,2,13601,1,24.76,14181.444414390045,7009818.555585609
IVF_PQ,2,13601,1360,55.37,11935.642127429499,3951064.357872571
IVF_PQ,2,13601,100,55.37,14822.957308453491,3948177.042691547
IVF_PQ,4,13601,1,24.81,2794.20946391574,7016205.790536084
IVF_PQ,4,13601,1360,61.47,2046.0817983140805,3350953.918201686
IVF_PQ,4,13601,100,61.47,7576.14248040172,3345423.857519598
IVF_PQ,8,13601,1,24.83,10939.189400657242,7006060.810599343
IVF_PQ,8,13601,1360,70.69,7163.6276686592655,2423836.372331341
IVF_PQ,8,13601,100,70.69,11019.083648591846,2419980.916351408
IVF_PQ,16,13601,1,24.84,2004.1685979004105,7013995.8314021
IVF_PQ,16,13601,1360,81.13,1529.6625066557742,1385470.3374933447
IVF_PQ,16,13601,100,81.13,5619.152499229666,1381380.8475007708
IVF_PQ,32,13601,1,24.86,7914.975845410628,7006085.0241545895
IVF_PQ,32,13601,1360,88.42,4596.850169328058,653403.1498306718
IVF_PQ,32,13601,100,88.42,7530.844779603196,650469.1552203967
IVF_PQ,64,13601,1,24.88,4426.332341332658,7007573.667658667
IVF_PQ,64,13601,1360,94.44,2797.564147885304,53202.43585211492
IVF_PQ,64,13601,100,94.44,5318.536177119525,50681.4638228807
IVF_PQ,128,13601,1,24.88,2752.1860379661284,7009247.813962034
IVF_PQ,128,13601,1360,98.1,1085.5217321538564,-1082.4217321538565
IVF_PQ,128,13601,100,98.1,2356.01966016009,-2352.91966016009
IVF_PQ,1,13701,1,24.64,13699.712568591585,7022300.287431409
IVF_PQ,1,13701,1370,49.5,10637.881708430557,4539362.11829157
IVF_PQ,1,13701,100,49.5,13750.463888797824,4536249.536111202
IVF_PQ,2,13701,1,24.76,13552.308636789558,7010447.69136321
IVF_PQ,2,13701,1370,55.37,11507.32256028972,3951492.6774397106
IVF_PQ,2,13701,100,55.37,14636.228495655512,3948363.771504345
IVF_PQ,4,13701,1,24.81,11612.78033113683,7007387.219668863
IVF_PQ,4,13701,1370,61.47,10673.887263010562,3342326.1127369893
