index_type,m,nlist,nprobe,recall,query_pre_sec,loss
"IVF_PQ",64,14201,1420,94.44,1286.0006561378011,57286.00065613803
"IVF_PQ",64,14201,100,94.44,4016.2246011835227,60016.22460118375
"IVF_PQ",128,14201,1,24.88,2660.752619959908,7014660.75261996
"IVF_PQ",128,14201,1420,98.1,1071.3037081688012,1074.4037081688011
"IVF_PQ",128,14201,100,98.1,2437.485979950603,2440.585979950603
"IVF_PQ",1,14301,1,24.64,13613.450178513469,7049613.450178513
"IVF_PQ",1,14301,1430,49.5,11713.64258385232,4561713.642583853
"IVF_PQ",1,14301,100,49.5,14078.625134264232,4564078.625134264
"IVF_PQ",2,14301,1,24.76,13423.061413895733,7037423.061413894
"IVF_PQ",2,14301,1430,55.37,12345.265636497425,3975345.265636498
"IVF_PQ",2,14301,100,55.37,15230.415047750463,3978230.415047751
"IVF_PQ",4,14301,1,24.81,13135.112113240637,7032135.11211324
"IVF_PQ",4,14301,1430,61.47,11141.1374080272,3364141.1374080274
"IVF_PQ",4,14301,100,61.47,13668.461187512221,3366668.461187512
"IVF_PQ",8,14301,1,24.83,10317.583390731083,7027317.583390731
"IVF_PQ",8,14301,1430,70.69,9441.739639376,2440441.739639376
"IVF_PQ",8,14301,100,70.69,12832.11160741602,2443832.111607416
"IVF_PQ",16,14301,1,24.84,1960.2116164731833,7017960.211616473
"IVF_PQ",16,14301,1430,81.13,4826.586881472957,1391826.5868814734
"IVF_PQ",16,14301,100,81.13,10750.490836857618,1397750.490836858
"IVF_PQ",32,14301,1,24.86,7519.773383294189,7021519.773383294
"IVF_PQ",32,14301,1430,88.42,5476.522125164845,663476.5221251647
"IVF_PQ",32,14301,100,88.42,8617.311445770756,666617.3114457707
"IVF_PQ",64,14301,1,24.88,4484.160109476566,7016484.160109476
"IVF_PQ",64,14301,1430,94.44,2825.8362696813924,58825.83626968162
"IVF_PQ",64,14301,100,94.44,5431.558772872664,61431.558772872886
"IVF_PQ",128,14301,1,24.88,2820.5534447395853,7014820.553444739
"IVF_PQ",128,14301,1430,98.1,1047.6017303907365,1050.7017303907364
"IVF_PQ",128,14301,100,98.1,2463.81728894006,2466.9172889400597
"IVF_PQ",1,14401,1,24.64,12984.255332322075,7048984.255332322
"IVF_PQ",1,14401,1440,49.5,12818.77750611247,4562818.777506112
"IVF_PQ",1,14401,100,49.5,15013.97479954181,4565013.974799542
"IVF_PQ",2,14401,1,24.76,13677.375595121634,7037677.375595121
"IVF_PQ",2,14401,1440,55.37,12373.308159773438,3975373.3081597737
"IVF_PQ",2,14401,100,55.37,15175.310250009044,3978175.3102500094
"IVF_PQ",4,14401,1,24.81,11888.616780045351,7030888.616780045
"IVF_PQ",4,14401,1440,61.47,9518.015748746227,3362518.015748746
"IVF_PQ",4,14401,100,61.47,11072.608236536431,3364072.6082365364
"IVF_PQ",8,14401,1,24.83,11655.37709109098,7028655.377091091
"IVF_PQ",8,14401,1440,70.69,10593.549364786704,2441593.5493647866
"IVF_PQ",8,14401,100,70.69,12849.015102778543,2443849.0151027786
"IVF_PQ",16,14401,1,24.84,9827.559221162634,7025827.559221162
"IVF_PQ",16,14401,1440,81.13,7377.8434476693055,1394377.8434476699
"IVF_PQ",16,14401,100,81.13,11798.323488045007,1398798.3234880455
"IVF_PQ",32,14401,1,24.86,7816.152957400022,7021816.1529574
"IVF_PQ",32,14401,1440,88.42,4345.528387898881,662345.5283878988
"IVF_PQ",32,14401,100,88.42,7744.855602333998,665744.8556023339
"IVF_PQ",64,14401,1,24.88,4472.254624940022,7016472.25462494
"IVF_PQ",64,14401,1440,94.44,2873.2242308825244,58873.22423088275
"IVF_PQ",64,14401,100,94.44,4538.356831387485,60538.35683138771
"IVF_PQ",128,14401,1,24.88,2776.985924072088,7014776.985924072
"IVF_PQ",128,14401,1440,98.1,1031.6745910127338,1034.7745910127337
"IVF_PQ",128,14401,100,98.1,2405.984121885182,2409.084121885182
"IVF_PQ",1,14501,1,24.64,14231.004648322194,7050231.004648322
"IVF_PQ",1,14501,1450,49.5,11669.320869153938,4561669.320869154
"IVF_PQ",1,14501,100,49.5,12992.29935260044,4562992.2993526
"IVF_PQ",2,14501,1,24.76,13735.60387739062,7037735.60387739
"IVF_PQ",2,14501,1450,55.37,10999.433546627504,3973999.433546628
"IVF_PQ",2,14501,100,55.37,13157.362444318966,3976157.3624443193
"IVF_PQ",4,14501,1,24.81,11858.365846762794,7030858.365846762
"IVF_PQ",4,14501,1450,61.47,9959.168942182121,3362959.1689421823
"IVF_PQ",4,14501,100,61.47,12279.485903328747,3365279.4859033288
"IVF_PQ",8,14501,1,24.83,12147.192215239364,7029147.19221524
"IVF_PQ",8,14501,1450,70.69,9865.236616803086,2440865.236616803
"IVF_PQ",8,14501,100,70.69,12496.436658324395,2443496.436658324
"IVF_PQ",16,14501,1,24.84,1691.7018238724822,7017691.7018238725
"IVF_PQ",16,14501,1450,81.13,3591.044443873663,1390591.0444438742
"IVF_PQ",16,14501,100,81.13,9661.400962845231,1396661.4009628457
"IVF_PQ",32,14501,1,24.86,7705.44338912057,7021705.4433891205
"IVF_PQ",32,14501,1450,88.42,5589.573282870013,663589.5732828699
"IVF_PQ",32,14501,100,88.42,8292.90784348617,666292.907843486
"IVF_PQ",64,14501,1,24.88,4083.6374257618536,7016083.637425762
"IVF_PQ",64,14501,1450,94.44,2362.176378821926,58362.17637882215
"IVF_PQ",64,14501,100,94.44,5437.33260737111,61437.33260737133
"IVF_PQ",128,14501,1,24.88,2678.4234590921865,7014678.423459092
"IVF_PQ",128,14501,1450,98.1,938.3692262258993,941.4692262258993
"IVF_PQ",128,14501,100,98.1,2326.7692205277845,2329.8692205277844
"IVF_PQ",1,14601,1,24.64,13120.73075358964,7049120.730753589
"IVF_PQ",1,14601,1460,49.5,11317.90927979708,4561317.909279797
"IVF_PQ",1,14601,100,49.5,11812.278923059592,4561812.27892306
"IVF_PQ",2,14601,1,24.76,13135.934857500783,7037135.9348575
"IVF_PQ",2,14601,1460,55.37,11383.027112112248,3974383.027112113
"IVF_PQ",2,14601,100,55.37,13503.876368319381,3976503.8763683196
"IVF_PQ",4,14601,1,24.81,2796.2585918385034,7021796.258591838
